GridID,TimeInterval,DataCount
12.0,2012-11-01 11:40:00-2012-11-01 12:00:00,15
12.0,2012-11-01 12:00:00-2012-11-01 12:20:00,29
12.0,2012-11-01 12:20:00-2012-11-01 12:40:00,21
12.0,2012-11-01 12:40:00-2012-11-01 13:00:00,19
12.0,2012-11-01 13:00:00-2012-11-01 13:20:00,24
12.0,2012-11-01 13:20:00-2012-11-01 13:40:00,46
12.0,2012-11-01 13:40:00-2012-11-01 14:00:00,33
12.0,2012-11-01 14:00:00-2012-11-01 14:20:00,38
12.0,2012-11-01 14:20:00-2012-11-01 14:40:00,38
12.0,2012-11-01 14:40:00-2012-11-01 15:00:00,46
12.0,2012-11-01 15:00:00-2012-11-01 15:20:00,34
12.0,2012-11-01 15:20:00-2012-11-01 15:40:00,38
12.0,2012-11-01 15:40:00-2012-11-01 16:00:00,35
12.0,2012-11-01 16:00:00-2012-11-01 16:20:00,30
12.0,2012-11-01 16:20:00-2012-11-01 16:40:00,31
12.0,2012-11-01 16:40:00-2012-11-01 17:00:00,26
12.0,2012-11-01 17:00:00-2012-11-01 17:20:00,23
12.0,2012-11-01 17:20:00-2012-11-01 17:40:00,29
12.0,2012-11-01 17:40:00-2012-11-01 18:00:00,44
12.0,2012-11-01 18:00:00-2012-11-01 18:20:00,31
12.0,2012-11-01 18:20:00-2012-11-01 18:40:00,29
12.0,2012-11-01 18:40:00-2012-11-01 19:00:00,26
12.0,2012-11-01 19:00:00-2012-11-01 19:20:00,36
12.0,2012-11-01 19:20:00-2012-11-01 19:40:00,27
12.0,2012-11-01 19:40:00-2012-11-01 20:00:00,38
12.0,2012-11-01 20:00:00-2012-11-01 20:20:00,41
12.0,2012-11-01 20:20:00-2012-11-01 20:40:00,34
12.0,2012-11-01 20:40:00-2012-11-01 21:00:00,22
12.0,2012-11-01 21:00:00-2012-11-01 21:20:00,41
12.0,2012-11-01 21:20:00-2012-11-01 21:40:00,21
12.0,2012-11-01 21:40:00-2012-11-01 22:00:00,26
12.0,2012-11-01 22:00:00-2012-11-01 22:20:00,29
12.0,2012-11-01 22:20:00-2012-11-01 22:40:00,17
12.0,2012-11-01 22:40:00-2012-11-01 23:00:00,17
12.0,2012-11-01 23:00:00-2012-11-01 23:20:00,13
12.0,2012-11-01 23:20:00-2012-11-01 23:40:00,16
12.0,2012-11-01 23:40:00-2012-11-02 00:00:00,12
13.0,2012-11-01 00:20:00-2012-11-01 00:40:00,4
13.0,2012-11-01 00:40:00-2012-11-01 01:00:00,6
13.0,2012-11-01 01:20:00-2012-11-01 01:40:00,8
13.0,2012-11-01 02:00:00-2012-11-01 02:20:00,1
13.0,2012-11-01 02:20:00-2012-11-01 02:40:00,3
13.0,2012-11-01 03:00:00-2012-11-01 03:20:00,2
13.0,2012-11-01 03:20:00-2012-11-01 03:40:00,2
13.0,2012-11-01 03:40:00-2012-11-01 04:00:00,2
13.0,2012-11-01 04:40:00-2012-11-01 05:00:00,8
13.0,2012-11-01 05:00:00-2012-11-01 05:20:00,4
13.0,2012-11-01 05:20:00-2012-11-01 05:40:00,8
13.0,2012-11-01 05:40:00-2012-11-01 06:00:00,8
13.0,2012-11-01 06:00:00-2012-11-01 06:20:00,7
13.0,2012-11-01 06:20:00-2012-11-01 06:40:00,12
13.0,2012-11-01 06:40:00-2012-11-01 07:00:00,12
13.0,2012-11-01 07:00:00-2012-11-01 07:20:00,16
13.0,2012-11-01 07:20:00-2012-11-01 07:40:00,31
13.0,2012-11-01 07:40:00-2012-11-01 08:00:00,43
13.0,2012-11-01 08:00:00-2012-11-01 08:20:00,25
13.0,2012-11-01 08:20:00-2012-11-01 08:40:00,26
13.0,2012-11-01 08:40:00-2012-11-01 09:00:00,21
13.0,2012-11-01 09:00:00-2012-11-01 09:20:00,38
13.0,2012-11-01 09:20:00-2012-11-01 09:40:00,40
13.0,2012-11-01 09:40:00-2012-11-01 10:00:00,28
13.0,2012-11-01 10:00:00-2012-11-01 10:20:00,21
13.0,2012-11-01 10:20:00-2012-11-01 10:40:00,44
13.0,2012-11-01 10:40:00-2012-11-01 11:00:00,33
13.0,2012-11-01 11:00:00-2012-11-01 11:20:00,24
13.0,2012-11-01 11:20:00-2012-11-01 11:40:00,26
13.0,2012-11-01 11:40:00-2012-11-01 12:00:00,21
13.0,2012-11-01 12:00:00-2012-11-01 12:20:00,24
13.0,2012-11-01 12:20:00-2012-11-01 12:40:00,14
13.0,2012-11-01 12:40:00-2012-11-01 13:00:00,21
13.0,2012-11-01 13:00:00-2012-11-01 13:20:00,26
13.0,2012-11-01 13:20:00-2012-11-01 13:40:00,16
13.0,2012-11-01 13:40:00-2012-11-01 14:00:00,29
13.0,2012-11-01 14:00:00-2012-11-01 14:20:00,22
13.0,2012-11-01 14:20:00-2012-11-01 14:40:00,26
13.0,2012-11-01 14:40:00-2012-11-01 15:00:00,29
13.0,2012-11-01 15:00:00-2012-11-01 15:20:00,35
13.0,2012-11-01 15:20:00-2012-11-01 15:40:00,21
13.0,2012-11-01 15:40:00-2012-11-01 16:00:00,26
13.0,2012-11-01 16:00:00-2012-11-01 16:20:00,25
13.0,2012-11-01 16:20:00-2012-11-01 16:40:00,18
13.0,2012-11-01 16:40:00-2012-11-01 17:00:00,13
13.0,2012-11-01 17:00:00-2012-11-01 17:20:00,22
13.0,2012-11-01 17:20:00-2012-11-01 17:40:00,17
13.0,2012-11-01 17:40:00-2012-11-01 18:00:00,31
13.0,2012-11-01 18:00:00-2012-11-01 18:20:00,26
13.0,2012-11-01 18:20:00-2012-11-01 18:40:00,11
13.0,2012-11-01 18:40:00-2012-11-01 19:00:00,22
13.0,2012-11-01 19:00:00-2012-11-01 19:20:00,13
13.0,2012-11-01 19:20:00-2012-11-01 19:40:00,13
13.0,2012-11-01 19:40:00-2012-11-01 20:00:00,17
13.0,2012-11-01 20:00:00-2012-11-01 20:20:00,7
13.0,2012-11-01 20:20:00-2012-11-01 20:40:00,18
13.0,2012-11-01 20:40:00-2012-11-01 21:00:00,15
13.0,2012-11-01 21:00:00-2012-11-01 21:20:00,18
13.0,2012-11-01 21:20:00-2012-11-01 21:40:00,19
13.0,2012-11-01 21:40:00-2012-11-01 22:00:00,18
13.0,2012-11-01 22:00:00-2012-11-01 22:20:00,11
13.0,2012-11-01 22:20:00-2012-11-01 22:40:00,9
13.0,2012-11-01 22:40:00-2012-11-01 23:00:00,10
13.0,2012-11-01 23:00:00-2012-11-01 23:20:00,11
13.0,2012-11-01 23:20:00-2012-11-01 23:40:00,7
13.0,2012-11-01 23:40:00-2012-11-02 00:00:00,5
13.0,2012-11-02 00:00:00-2012-11-02 00:20:00,1
14.0,2012-11-01 00:00:00-2012-11-01 00:20:00,2
